run_id,run_label,scenario,cluster,round,writer_instance,reader_instance,client_instance,tps,tps_config,writeMaxMs,readMaxMs,result_dir
M3,v16-M3-r7g4xl-tps1280,reboot,test-v11-1,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M3-r7g4xl-tps1280-reboot-test-v11-1-r1_20260521_142344
M3,v16-M3-r7g4xl-tps1280,reboot,test-v11-2,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M3-r7g4xl-tps1280-reboot-test-v11-2-r1_20260521_142244
M3,v16-M3-r7g4xl-tps1280,reboot,test-v11-3,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M3-r7g4xl-tps1280-reboot-test-v11-3-r1_20260521_142244
M3,v16-M3-r7g4xl-tps1280,reboot,test-v11-4,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M3-r7g4xl-tps1280-reboot-test-v11-4-r1_20260521_142315
M3,v16-M3-r7g4xl-tps1280,reboot,test-v11-5,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M3-r7g4xl-tps1280-reboot-test-v11-5-r1_20260521_142315
M4,v16-M4-r7g8xl-tps1280,blue-green,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,3100,3100,e2e-results/v16-M4-r7g8xl-tps1280-blue-green-test-v11-1-r1_20260522_031345
M4,v16-M4-r7g8xl-tps1280,blue-green,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,3200,3200,e2e-results/v16-M4-r7g8xl-tps1280-blue-green-test-v11-2-r1_20260522_031446
M4,v16-M4-r7g8xl-tps1280,blue-green,test-v11-3,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,4300,4300,e2e-results/v16-M4-r7g8xl-tps1280-blue-green-test-v11-3-r1_20260522_031446
M4,v16-M4-r7g8xl-tps1280,blue-green,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,3000,3000,e2e-results/v16-M4-r7g8xl-tps1280-blue-green-test-v11-4-r1_20260522_031346
M4,v16-M4-r7g8xl-tps1280,blue-green,test-v11-5,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,4200,4200,e2e-results/v16-M4-r7g8xl-tps1280-blue-green-test-v11-5-r1_20260522_031546
M4,v16-M4-r7g8xl-tps1280,failover,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,8100,8100,e2e-results/v16-M4-r7g8xl-tps1280-failover-test-v11-1-r1_20260522_031652
M4,v16-M4-r7g8xl-tps1280,failover,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,7600,7600,e2e-results/v16-M4-r7g8xl-tps1280-failover-test-v11-2-r1_20260522_031753
M4,v16-M4-r7g8xl-tps1280,failover,test-v11-3,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,8900,8900,e2e-results/v16-M4-r7g8xl-tps1280-failover-test-v11-3-r1_20260522_031753
M4,v16-M4-r7g8xl-tps1280,failover,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,7700,7700,e2e-results/v16-M4-r7g8xl-tps1280-failover-test-v11-4-r1_20260522_031653
M4,v16-M4-r7g8xl-tps1280,failover,test-v11-5,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,10400,10400,e2e-results/v16-M4-r7g8xl-tps1280-failover-test-v11-5-r1_20260522_031853
M4,v16-M4-r7g8xl-tps1280,reboot,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M4-r7g8xl-tps1280-reboot-test-v11-1-r1_20260522_032659
M4,v16-M4-r7g8xl-tps1280,reboot,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M4-r7g8xl-tps1280-reboot-test-v11-2-r1_20260522_032800
M4,v16-M4-r7g8xl-tps1280,reboot,test-v11-3,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M4-r7g8xl-tps1280-reboot-test-v11-3-r1_20260522_032800
M4,v16-M4-r7g8xl-tps1280,reboot,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M4-r7g8xl-tps1280-reboot-test-v11-4-r1_20260522_032659
M4,v16-M4-r7g8xl-tps1280,reboot,test-v11-5,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M4-r7g8xl-tps1280-reboot-test-v11-5-r1_20260522_032900
T2,v16-T2-r7g8xl-tps2560,blue-green,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,3416,3416,e2e-results/v16-T2-r7g8xl-tps2560-blue-green-test-v11-1-r1_20260522_054745
T2,v16-T2-r7g8xl-tps2560,blue-green,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,4600,4600,e2e-results/v16-T2-r7g8xl-tps2560-blue-green-test-v11-2-r1_20260522_054644
T2,v16-T2-r7g8xl-tps2560,blue-green,test-v11-3,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,4202,4202,e2e-results/v16-T2-r7g8xl-tps2560-blue-green-test-v11-3-r1_20260522_054645
T2,v16-T2-r7g8xl-tps2560,blue-green,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,3500,3500,e2e-results/v16-T2-r7g8xl-tps2560-blue-green-test-v11-4-r1_20260522_054614
T2,v16-T2-r7g8xl-tps2560,blue-green,test-v11-5,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,4200,4200,e2e-results/v16-T2-r7g8xl-tps2560-blue-green-test-v11-5-r1_20260522_054644
T2,v16-T2-r7g8xl-tps2560,failover,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,8200,8200,e2e-results/v16-T2-r7g8xl-tps2560-failover-test-v11-1-r1_20260522_055052
T2,v16-T2-r7g8xl-tps2560,failover,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,9000,9000,e2e-results/v16-T2-r7g8xl-tps2560-failover-test-v11-2-r1_20260522_054951
T2,v16-T2-r7g8xl-tps2560,failover,test-v11-3,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,9800,9800,e2e-results/v16-T2-r7g8xl-tps2560-failover-test-v11-3-r1_20260522_054952
T2,v16-T2-r7g8xl-tps2560,failover,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,12600,12600,e2e-results/v16-T2-r7g8xl-tps2560-failover-test-v11-4-r1_20260522_054921
T2,v16-T2-r7g8xl-tps2560,failover,test-v11-5,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,8100,8100,e2e-results/v16-T2-r7g8xl-tps2560-failover-test-v11-5-r1_20260522_054951
T2,v16-T2-r7g8xl-tps2560,reboot,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,0,0,e2e-results/v16-T2-r7g8xl-tps2560-reboot-test-v11-1-r1_20260522_060059
T2,v16-T2-r7g8xl-tps2560,reboot,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,0,0,e2e-results/v16-T2-r7g8xl-tps2560-reboot-test-v11-2-r1_20260522_055958
T2,v16-T2-r7g8xl-tps2560,reboot,test-v11-3,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,0,0,e2e-results/v16-T2-r7g8xl-tps2560-reboot-test-v11-3-r1_20260522_055959
T2,v16-T2-r7g8xl-tps2560,reboot,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,0,0,e2e-results/v16-T2-r7g8xl-tps2560-reboot-test-v11-4-r1_20260522_055928
